word,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,area,langfamily,longitude,latitude,population,subsistence
snow_group,-7.425465999571546,0.015638920759886255,converged,-4.390625855381108,0.17609409233530732,east2534,converged,3.0348401441904382,17.16663070412524,Eastern Canadian Inuktitut,North America,Eskimo-Aleut,284.3861,62.1735,14000,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-4.931018197859857,0.21227949980906838,east2534,converged,2.6483345008929264,12.435991549395343,Eastern Canadian Inuktitut,North America,Eskimo-Aleut,284.3861,62.1735,14000,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.520710252241503,0.09320832755270206,hawa1245,converged,1.1101391326379693,11.815325861169384,Hawaiian,Papunesia,Austronesian,204.57,19.6297,1000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.678921439354546,0.15429031557106057,lako1247,converged,1.746544560217,11.262153229754727,Lakota,North America,Siouan,256.05,46.3699,6189,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.059081076625739,0.12363278945699122,nava1243,converged,1.3663849229458078,10.964588380756478,Navajo,North America,Athabaskan-Eyak-Tlingit,250.62,36.33,149000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.465578962937075,0.17961704434739809,plai1258,converged,1.9598870366344716,10.870350315565004,Plains Cree,North America,Algic,249.537,51.2437,34100,hunter-gatherer
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.147230488046403,0.07520547679175674,hawa1245,converged,0.8122749165038448,10.72714048414633,Hawaiian,Papunesia,Austronesian,204.57,19.6297,1000,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-4.614724786393443,0.28930572676681315,cent2128,converged,2.964627912359341,10.2297902603976,Central Siberian Yupik,Eurasia,Eskimo-Aleut,189.728,63.4308,1130,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.997510228349107,0.14203512009506825,dako1258,converged,1.4279557712224396,9.993147426297647,Dakota,North America,Siouan,263.42,45.86,19280,hunter-gatherer
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.424486268562136,0.05364910008856828,dutc1256,converged,0.5350191359881116,9.840325077532311,Dutch,Eurasia,Indo-European,5,52,21220000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-4.625927160897887,0.26858320022891496,sene1264,converged,2.6430381168070536,9.820413306751416,Seneca,North America,Iroquoian,282.47,42.56,175,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-7.075029186020175,0.04958042486858076,stan1295,converged,0.5043235127326087,9.623336695033352,German,Eurasia,Indo-European,12.4676,48.649,83520790,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.077132814498138,0.24722853362957017,ahte1237,converged,2.3483331850734084,9.479686046385423,Ahtena,North America,Athabaskan-Eyak-Tlingit,215.111,61.7068,100,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.6513244830950065,0.18752734366421464,mikm1235,converged,1.77414151647654,9.427980374159457,Mi'kmaq,North America,Algic,296,46,9290,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-4.810318688387135,0.2612448832972943,tiko1237,converged,2.458646589317805,9.39080088139936,Tikopia,Papunesia,Austronesian,168.822,-12.2766,3320,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.4082658629273235,0.05922027216193539,maor1246,converged,0.5512395416229241,9.206630108194458,Maori,Papunesia,Austronesian,176.541,-38.2881,60000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.140880368334379,0.25054769176731334,nort2671,converged,2.2845856312371673,9.100654903998977,North Saami,Eurasia,Uralic,22.1113,68.725,20700,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-4.919623089062974,0.2951049442963071,tana1289,converged,2.6597296096898093,8.997949880581187,Dena'ina,North America,Athabaskan-Eyak-Tlingit,209.241,60.4712,100,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-7.153694139313253,0.0442079575941752,stan1290,converged,0.42565855943953057,8.988572315958354,French,Eurasia,Indo-European,2,48,65458630,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.652118468848781,0.08461370897310314,scot1243,converged,0.7733475307227655,8.98751995831028,Scots,Eurasia,Indo-European,-3.710133,55.886945,100000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.2128130676152304,0.252555601884808,tana1289,converged,2.212652931956316,8.74430405486433,Dena'ina,North America,Athabaskan-Eyak-Tlingit,209.241,60.4712,100,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.2915383051844085,0.24497861189331818,cent2128,converged,2.133927694387138,8.692974251434876,Central Siberian Yupik,Eurasia,Eskimo-Aleut,189.728,63.4308,1130,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-4.9306424606373565,0.26875978249277477,kich1262,converged,2.338322817067584,8.682535016957127,K'iche',North America,Mayan,268.8304,14.5278,1900000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.9991403285023654,0.04752944760684827,nucl1643,converged,0.42632567106918096,8.520339719903559,Japanese,Eurasia,Japonic,135,35,121563000,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.833931670885587,0.08665111648024539,russ1263,converged,0.7454210278671969,8.442061389869757,Russian,Eurasia,Indo-European,50,59,135099940,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.139899070222749,0.2607726790450177,cent2131,converged,2.1290662074821913,8.146629696817673,Central Tarahumara,North America,Uto-Aztecan,252.846,27.5648,55000,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-5.884144934463634,0.2152620487372803,plai1258,converged,1.69520776428915,7.8507125729697735,Plains Cree,North America,Algic,249.537,51.2437,34100,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.118157149737324,0.27651650300119707,tang1348,converged,2.1508081279676166,7.763120137620388,Tangga,Papunesia,Austronesian,153.611,-4.08824,5800,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-5.291479644399776,0.29461550143373333,ahte1237,converged,2.2878730543530077,7.752763131884234,Ahtena,North America,Athabaskan-Eyak-Tlingit,215.111,61.7068,100,hunter-gatherer
wind_group,-5.959505404550248,0.008824866560647699,converged,-4.5961966717275144,0.1758593561045585,tuam1242,converged,1.3633087328227331,7.742524909348154,Tuamotuan,Papunesia,Austronesian,213.678245,-16.17259,14400,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.68364031059716,0.12253016131897598,nyan1308,converged,0.9472090742823118,7.69456489909604,Nyanja,Africa,Atlantic-Congo,32.8108,-14.8047,8402000,other
taste_group,-6.680384403350803,0.0081461392106451,converged,-6.412165741576496,0.034045290397155106,lati1261,converged,0.26821866177430653,7.662010103428136,Latin,Eurasia,Indo-European,12.4502,41.9026,56800000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.198776853908004,0.270881215304724,squa1248,converged,2.070188423796936,7.626956295799919,Squamish,North America,Salishan,236.986,49.3231,100,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-4.983008519628815,0.220144242892635,ngaa1240,converged,1.6478408652506564,7.47447209185548,Ngaanyatjarra,Australia,Pama-Nyungan,127.602,-25.7514,990,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.831084924691811,0.0997215605321075,scot1243,converged,0.7482677740609729,7.397146429686208,Scots,Eurasia,Indo-European,-3.710133,55.886945,100000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.241537384446738,0.27773645974119165,kwak1269,converged,2.027427893258203,7.285772439242613,Kwak'wala,North America,Wakashan,232.692,50.9269,190,hunter-gatherer
smell_group,-6.48619801475289,0.00935661688720496,converged,-6.088333271647776,0.05537718221649266,sans1269,converged,0.39786474310511455,7.084224506584389,Sanskrit,Eurasia,Indo-European,77,20,2950,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.347522881604373,0.2707742624810087,koas1236,converged,1.9214423961005673,7.081733266607782,Koasati,North America,Muskogean,267.291,30.4096,200,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.086070132928138,0.1888435842248038,kaza1248,converged,1.3393958666434083,7.06842358978792,Kazakh,Eurasia,Turkic,71.454,51.17,7621000,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-7.262909765351341,0.04171637646589849,mand1415,converged,0.3164429334014427,7.026068208672442,Mandarin Chinese,Eurasia,Sino-Tibetan,116.228,40.0209,844355000,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.257918172023132,0.18766849295218968,lako1247,converged,1.321434526729652,7.0126891784327,Lakota,North America,Siouan,256.05,46.3699,6189,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.452110506745077,0.2589620976730518,trin1276,converged,1.8168547709598633,7.000380052573563,Trinidadian Creole English,South America,Indo-European,298.5829,10.4208,9600,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.389827448525971,0.2683921258592854,west2630,converged,1.879137829178969,6.987032723369291,Western Abenaki,North America,Algic,287.3489,46.1381,100,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-5.417992637596909,0.31182964899846305,west2618,converged,2.1613600611558743,6.9209715969681636,Western Canadian Inuktitut,North America,Eskimo-Aleut,263.852,64.3486,4000,hunter-gatherer
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.940275727122871,0.07846431962099934,zulu1248,converged,0.5459222876300194,6.908640129848732,Zulu,Africa,Atlantic-Congo,30.2,-28.9,10231000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.626075229341019,0.262001223052872,east2542,converged,1.7993907702305272,6.855669377588588,Eastern Ojibwa,North America,Algic,280.2497,45.0112,25900,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.572160479076769,0.2716737065050772,tana1290,converged,1.8533055204947777,6.8105319030531435,Tanacross,North America,Athabaskan-Eyak-Tlingit,216.662,63.4046,100,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.910281785706206,0.09699983359328383,norw1258,converged,0.6690709130465775,6.794377091640228,Norwegian,Eurasia,Indo-European,10.71,59.92,4639000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.3619890879739245,0.08772146486135438,fiji1243,converged,0.5975163165763231,6.777309022181812,Fijian,Papunesia,Austronesian,178.33,-18,333440,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.436168496791675,0.2700417516580234,taku1257,converged,1.8327967809132657,6.773267088421468,Takuu,Papunesia,Austronesian,157.032085,-4.773094,1750,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.393840479134248,0.276489491618248,naka1262,converged,1.8751247985706927,6.768728223774364,Nakanai,Papunesia,Austronesian,150.888,-5.59931,13000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-4.765301776335194,0.1779444578785412,yama1264,converged,1.1942036282150532,6.70286544546168,Yámana,South America,isolate_yama1264,291.7352,-55.2748,100,hunter-gatherer
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.06474370660197,0.13384635828689015,east2534,converged,0.8947616979482778,6.670507902811911,Eastern Canadian Inuktitut,North America,Eskimo-Aleut,284.3861,62.1735,14000,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.4936611785511715,0.2670071340367683,renn1242,converged,1.775304099153769,6.635054611273414,Rennell-Bellona,Papunesia,Austronesian,160.265,-11.6237,4390,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.142080800895566,0.07299531433005414,scot1243,converged,0.488768583983906,6.609480982848816,Scots,Eurasia,Indo-European,-3.710133,55.886945,100000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.497394532148667,0.2693849053769158,nuuc1236,converged,1.7715707455562733,6.562899204995466,Nuu-chah-nulth,North America,Wakashan,233.33,49.67,7680,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.209246583259698,0.16068961828870043,bini1246,converged,1.0597186944452428,6.557104378265512,Bini,Africa,Atlantic-Congo,5.70426,6.40701,1000000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.372554098191635,0.13571200294101696,nava1243,converged,0.8964111795133052,6.552471448449312,Navajo,North America,Athabaskan-Eyak-Tlingit,250.62,36.33,149000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.299178758461717,0.1010823381372406,tahi1242,converged,0.6603266460885306,6.507808056026043,Tahitian,Papunesia,Austronesian,210.55,-17.6485,124260,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.774998754491389,0.2533222324773469,carr1249,converged,1.650467245080157,6.502907473579563,Central Carrier,North America,Athabaskan-Eyak-Tlingit,235.672,54.3768,2060,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.512219054745856,0.2702121066599302,yaki1237,converged,1.7567462229590847,6.4881389627658175,Northwest Sahaptin,North America,Sahaptian,239.244,46.2655,3000,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.919484850554362,0.10038832774988651,iris1253,converged,0.6598678481984219,6.481133643931463,Irish,Eurasia,Indo-European,-7.61509,53.2186,260000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.505942762956389,0.27157836316079415,lozi1239,converged,1.7630225147485517,6.478693956572524,Lozi,Africa,Atlantic-Congo,24.7398,-17.7052,694000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.4007751019393275,0.08609419666854462,samo1305,converged,0.55873030261092,6.455928882906445,Samoan,Papunesia,Austronesian,188.17,-13.92,306840,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.450097125050394,0.28555423269974745,tuni1252,converged,1.818868152654547,6.358004243550648,Tunica,North America,isolate_tuni1252,267.4597,30.9888,100,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.438974373355493,0.2873242486699043,shos1248,converged,1.8299909043494473,6.357619851689133,Shoshoni,North America,Uto-Aztecan,244,41,2910,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.177265879764934,0.22854660777893868,ngal1292,converged,1.4535835051145378,6.351598227320655,Ngalkbun,Australia,Gunwinyguan,133.936,-13.9783,100,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.669066518211319,0.27667555003991995,west2618,converged,1.7563994813602273,6.338110943741832,Western Canadian Inuktitut,North America,Eskimo-Aleut,263.852,64.3486,4000,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-5.664212708076454,0.3018557712883389,nort2671,converged,1.9151399906763293,6.334543019130119,North Saami,Eurasia,Uralic,22.1113,68.725,20700,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.485998405233715,0.281920201388556,kwam1252,converged,1.782966872471225,6.312549074878114,Kwamera,Papunesia,Austronesian,169.442,-19.5954,3500,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.803921446812757,0.2580144545730963,west2630,converged,1.621544552758789,6.273191377172323,Western Abenaki,North America,Algic,287.3489,46.1381,100,hunter-gatherer
taste_group,-6.680384403350803,0.0081461392106451,converged,-5.481323739013522,0.19132483904287437,east2542,converged,1.1990606643372805,6.261472841640731,Eastern Ojibwa,North America,Algic,280.2497,45.0112,25900,hunter-gatherer
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.9551871007061905,0.08464968298227114,nucl1305,converged,0.5310109140466999,6.235067542883277,Kannada,Eurasia,Dravidian,76.1198,13.5878,35300000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.033554102191781,0.19851726291754251,dagb1246,converged,1.2354111755131596,6.199806156674279,Dagbani,Africa,Atlantic-Congo,-0.43227,9.64745,800000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.634221083678147,0.26354850989629963,cent2128,converged,1.6347441940267933,6.1895629111732005,Central Siberian Yupik,Eurasia,Eskimo-Aleut,189.728,63.4308,1130,hunter-gatherer
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.296198011699068,0.1920782602885686,mars1254,converged,1.1900000030538225,6.188053908616317,Marshallese,Papunesia,Austronesian,167.73,8.72,43900,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.521640418738111,0.2819167508991879,yaqu1251,converged,1.747324858966829,6.1864348629207475,Yaqui,North America,Uto-Aztecan,249.319,29.9446,14620,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.884743301828371,0.08694165611559161,tibe1272,converged,0.5407226977431758,6.121134223895628,Tibetan,Eurasia,Sino-Tibetan,90.1872,28.3681,1269080,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.521601760146464,0.17296723376622383,dako1258,converged,1.0577509386063193,6.086081620863808,Dakota,North America,Siouan,263.42,45.86,19280,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.630169439776405,0.15515470262456865,swed1254,converged,0.9491832589763787,6.081362253434689,Swedish,Eurasia,Indo-European,17.389526,59.800634,8236000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.863664523263861,0.25658516628278427,yama1264,converged,1.5618014763076857,6.075598859502446,Yámana,South America,isolate_yama1264,291.7352,-55.2748,100,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.721985577693872,0.28021046568367,kati1270,converged,1.703480421877674,6.069842929089958,Katë,Eurasia,Indo-European,70.9826,35.4145,19400,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-5.7685379365660685,0.298295256870883,carr1249,converged,1.8108147621867152,6.060737653149953,Central Carrier,North America,Athabaskan-Eyak-Tlingit,235.672,54.3768,2060,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.855455869982326,0.2593432013929957,klam1254,converged,1.5700101295892201,6.042816398217911,Klamath-Modoc,North America,isolate_klam1254,238.296,42.5861,100,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.009470100152588,0.20912530365479215,cree1270,converged,1.2594951775523526,6.002275435970753,Creek,North America,Muskogean,272.5,31,4300,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.616093251199887,0.2755537157332376,wikm1247,converged,1.6528720265050536,5.986634624675703,Wik-Mungkan,Australia,Pama-Nyungan,141.81611,-13.98051,840,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-7.182039948985627,0.06438692047360312,ital1282,converged,0.39731274976715714,5.9667885094640765,Italian,Eurasia,Indo-European,12.6489,43.0464,57191010,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-4.880763641184898,0.18121064276386634,taku1257,converged,1.0787417633653495,5.945924719738623,Takuu,Papunesia,Austronesian,157.032085,-4.773094,1750,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-7.0100508631373275,0.09434925309151161,dutc1256,converged,0.5693018356154562,5.938615559004225,Dutch,Eurasia,Indo-European,5,52,21220000,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-5.6856039537639145,0.32021030886166174,nort2943,converged,1.8937487449888692,5.905783903662995,North Alaskan Inupiatun,North America,Eskimo-Aleut,216.23,69.582,6420,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.280948370684313,0.23022557265203106,wamp1247,converged,1.3499010141951588,5.855643433299836,Wampar,Papunesia,Austronesian,146.662,-6.67364,5150,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.656913374949091,0.1661355695766804,west2721,converged,0.9739360099303811,5.847461256453781,West Central Oromo,Africa,Afro-Asiatic,36.7365,8.81391,8920000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.196999066228863,0.13064375384228985,plai1258,converged,0.7625063383213844,5.823260847822363,Plains Cree,North America,Algic,249.537,51.2437,34100,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-7.036989632804612,0.09173310852771177,poli1260,converged,0.5423630659481713,5.813684882033923,Polish,Eurasia,Indo-European,18.6255,51.8439,37794600,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.601476510458947,0.14162285671733027,penn1240,converged,0.8239894891125994,5.783043220542424,Pennsylvania German,North America,Indo-European,283.6789,40.030507,209280,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.282017113336027,0.23299939991668628,zand1248,converged,1.3488322715434444,5.7815324700524595,Zande,Africa,Atlantic-Congo,26.7157,4.62047,1142000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.3874238576378035,0.2156298921655374,sant1410,converged,1.2434255272416683,5.757804251903955,Santali,Eurasia,Austroasiatic,87.8185,25.0317,6157300,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.928220178225155,0.2622149836857046,chip1241,converged,1.4972458213463913,5.6998648281739195,Chippewa,North America,Algic,265.7262,47.347,5000,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.12430441198136,0.20063852977252195,masa1300,converged,1.1446608657235808,5.684098935075966,Masai,Africa,Nilotic,36.4573,-3.1419,1045000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.733057035564639,0.2696926416485599,alab1237,converged,1.5359082421403016,5.683406106781067,Alabama,North America,Muskogean,265.37152000000003,30.76738,100,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.307176217434366,0.2079308780664139,gilb1244,converged,1.1790217973185246,5.664526250366177,Gilbertese,Papunesia,Austronesian,173.64,0.179,66110,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-4.929463375652363,0.1821319613133705,aros1241,converged,1.0300420288978849,5.64884399024121,Arosi,Papunesia,Austronesian,161.432,-10.2441,6750,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.113809397791141,0.20384344759204268,plai1258,converged,1.1551558799137993,5.6466742266964856,Plains Cree,North America,Algic,249.537,51.2437,34100,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.819877535316379,0.1447624554726507,bora1271,converged,0.8109718495630931,5.583437000578759,Borana-Arsi-Guji Oromo,Africa,Afro-Asiatic,37.882,1.05676,3823600,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.837148670193873,0.28449969327926367,nort2943,converged,1.5883173293776736,5.574427987097042,North Alaskan Inupiatun,North America,Eskimo-Aleut,216.23,69.582,6420,hunter-gatherer
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.682182961265898,0.14443931585385208,pala1344,converged,0.8040150534869923,5.5548130646983065,Palauan,Papunesia,Austronesian,134.476678,7.34138,14800,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.974879299657762,0.10780679818234722,sout1528,converged,0.6044733990950215,5.53875368586905,Serbian-Croatian-Bosnian,Eurasia,Indo-European,18.81,44.15,18276976,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.6560194519939895,0.17639705573821007,gras1249,converged,0.9748299328854824,5.5139282039400275,Grass Koiari,Papunesia,Koiarian,147.437,-9.51218,1700,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.024168898808127,0.2542161228672975,aleu1260,converged,1.4012971007634194,5.501826516815338,Aleut,North America,Eskimo-Aleut,185.71,52.1228,490,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.717626070516952,0.2851170544347759,wole1240,converged,1.5513392071879881,5.431119317370621,Woleaian,Papunesia,Austronesian,143.916,7.37957,1630,other
taste_group,-6.680384403350803,0.0081461392106451,converged,-5.613826566755356,0.19641265753128564,mudb1240,converged,1.0665578365954467,5.425524583794351,Mudburra,Australia,Pama-Nyungan,132.329,-16.7694,130,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-5.89074997308228,0.3111135782892535,east2542,converged,1.6886027256705036,5.4195460825838975,Eastern Ojibwa,North America,Algic,280.2497,45.0112,25900,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.7884660148677485,0.27324601741427557,mbay1241,converged,1.480499262837192,5.40741569354638,Mbay,Africa,Central Sudanic,15.7328,8.23066,88300,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.372643045234892,0.2326405081475802,naro1249,converged,1.2582063396445795,5.40137869764162,Naro,Africa,Khoe-Kwadi,20.7458,-22.0939,14000,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.737299239133456,0.16505770569023104,masa1300,converged,0.8935501457460155,5.399683414811849,Masai,Africa,Nilotic,36.4573,-3.1419,1045000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.351543847039974,0.23730877922747215,huaa1248,converged,1.2793055378394982,5.3841906958280985,East Taa,Africa,Tuu,20.79583,-24.20022,4200,hunter-gatherer
taste_group,-6.680384403350803,0.0081461392106451,converged,-5.663640786090905,0.18872824761574972,chip1241,converged,1.0167436172598974,5.382330508306424,Chippewa,North America,Algic,265.7262,47.347,5000,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-5.91630407420501,0.2809808592091494,male1292,converged,1.509161925366536,5.3627487996642715,Malecite-Passamaquoddy,North America,Algic,292.59195,45.494475,2060,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.405965306233465,0.2282083327995957,maga1263,converged,1.2248840786460065,5.3601825290399265,Mag-Anchi Ayta,Papunesia,Austronesian,120.459,15.1954,8200,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-5.852233054973641,0.32218699046851196,tana1290,converged,1.727119643779143,5.353186479406843,Tanacross,North America,Athabaskan-Eyak-Tlingit,216.662,63.4046,100,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.750788440617774,0.15390049982078216,nava1243,converged,0.8285642581350094,5.351307102808595,Navajo,North America,Athabaskan-Eyak-Tlingit,250.62,36.33,149000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.909013035165749,0.09527048414259802,sout1528,converged,0.5164529644057971,5.349319842104605,Serbian-Croatian-Bosnian,Eurasia,Indo-European,18.81,44.15,18276976,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.748733528821336,0.28552416916437673,tiwi1244,converged,1.5202317488836048,5.31465346205783,Tiwi,Australia,isolate_tiwi1244,130.949,-11.6308,1830,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.606830980569666,0.18258056388342303,finn1318,converged,0.9725217181831178,5.303657801764569,Finnish,Eurasia,Uralic,25.5577,64.7628,4739460,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-7.00722743132596,0.07745779075960296,russ1263,converged,0.41823856824558625,5.292766248807131,Russian,Eurasia,Indo-European,50,59,135099940,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.441914716237771,0.22490066486868887,thao1240,converged,1.1889346686417008,5.279175031237615,Thao,Papunesia,Austronesian,120.93,23.8333,100,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.792241447575075,0.13133840826540943,sida1246,converged,0.693956567177815,5.270371879417025,Sidamo,Africa,Afro-Asiatic,38.3729,6.74176,2900000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.895311392907,0.13931416257585677,shon1251,converged,0.735537991972472,5.260736497758876,Shona,Africa,Atlantic-Congo,29.75725,-17.20849,10741200,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.745013709776717,0.2892930490055925,yana1271,converged,1.5239515679282238,5.25849737131429,Yana,North America,isolate_yana1271,238.392,39.2769,1500,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-5.863743966101562,0.2667971084884027,romb1245,converged,1.4052213116033787,5.256017436935223,Romblomanon,Papunesia,Austronesian,122.56,12.4047,200000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.503530633199238,0.14504484670811305,sout2807,converged,0.7654346445057021,5.240259831989285,Southern Sotho,Africa,Atlantic-Congo,27.89,-28.78,6010000,other
