id,page_number,total_pages,count
hawaii.bikol_mintz_cent2087,284,378,17
hawaii.bikol_mintz_cent2087,336,378,19
hawaii.bikol_mintz_cent2087,101,378,23
hawaii.bikol_mintz_cent2087,111,378,16
hawaii.bikol_mintz_cent2087,133,378,2
hawaii.bikol_mintz_cent2087,98,378,21
hawaii.bikol_mintz_cent2087,103,378,21
hawaii.bikol_mintz_cent2087,214,378,23
hawaii.bikol_mintz_cent2087,90,378,26
hawaii.bikol_mintz_cent2087,326,378,19
hawaii.bikol_mintz_cent2087,79,378,20
hawaii.bikol_mintz_cent2087,270,378,21
hawaii.bikol_mintz_cent2087,184,378,17
hawaii.bikol_mintz_cent2087,62,378,22
hawaii.bikol_mintz_cent2087,4,378,25
hawaii.bikol_mintz_cent2087,149,378,23
hawaii.bikol_mintz_cent2087,40,378,21
hawaii.bikol_mintz_cent2087,212,378,25
hawaii.bikol_mintz_cent2087,195,378,21
hawaii.bikol_mintz_cent2087,93,378,18
hawaii.carolinian_jackson_caro1242,122,462,19
hawaii.carolinian_jackson_caro1242,389,462,11
hawaii.carolinian_jackson_caro1242,66,462,14
hawaii.carolinian_jackson_caro1242,175,462,11
hawaii.carolinian_jackson_caro1242,424,462,12
hawaii.carolinian_jackson_caro1242,379,462,14
hawaii.carolinian_jackson_caro1242,304,462,15
hawaii.carolinian_jackson_caro1242,108,462,18
hawaii.carolinian_jackson_caro1242,131,462,13
hawaii.carolinian_jackson_caro1242,343,462,13
hawaii.carolinian_jackson_caro1242,41,462,14
hawaii.carolinian_jackson_caro1242,115,462,12
hawaii.carolinian_jackson_caro1242,228,462,16
hawaii.carolinian_jackson_caro1242,328,462,16
hawaii.carolinian_jackson_caro1242,416,462,15
hawaii.carolinian_jackson_caro1242,298,462,17
hawaii.carolinian_jackson_caro1242,299,462,19
hawaii.carolinian_jackson_caro1242,258,462,15
hawaii.carolinian_jackson_caro1242,117,462,11
hawaii.carolinian_jackson_caro1242,79,462,3
hawaii.hiligaynon_motus_hili1240,182,285,2
hawaii.hiligaynon_motus_hili1240,184,285,13
hawaii.hiligaynon_motus_hili1240,221,285,13
hawaii.hiligaynon_motus_hili1240,224,285,15
hawaii.hiligaynon_motus_hili1240,49,285,10
hawaii.hiligaynon_motus_hili1240,136,285,12
hawaii.hiligaynon_motus_hili1240,145,285,15
hawaii.hiligaynon_motus_hili1240,123,285,9
hawaii.hiligaynon_motus_hili1240,264,285,20
hawaii.hiligaynon_motus_hili1240,234,285,16
hawaii.hiligaynon_motus_hili1240,96,285,5
hawaii.hiligaynon_motus_hili1240,22,285,14
hawaii.hiligaynon_motus_hili1240,208,285,13
hawaii.hiligaynon_motus_hili1240,131,285,10
hawaii.hiligaynon_motus_hili1240,57,285,13
hawaii.hiligaynon_motus_hili1240,10,285,13
hawaii.hiligaynon_motus_hili1240,248,285,16
hawaii.hiligaynon_motus_hili1240,153,285,12
hawaii.hiligaynon_motus_hili1240,272,285,13
hawaii.hiligaynon_motus_hili1240,83,285,9
hawaii.ilokano_constantino_ilok1237,434,474,13
hawaii.ilokano_constantino_ilok1237,245,474,16
hawaii.ilokano_constantino_ilok1237,248,474,19
hawaii.ilokano_constantino_ilok1237,218,474,16
hawaii.ilokano_constantino_ilok1237,215,474,18
hawaii.ilokano_constantino_ilok1237,326,474,23
hawaii.ilokano_constantino_ilok1237,276,474,15
hawaii.ilokano_constantino_ilok1237,169,474,23
hawaii.ilokano_constantino_ilok1237,447,474,24
hawaii.ilokano_constantino_ilok1237,71,474,14
hawaii.ilokano_constantino_ilok1237,61,474,12
hawaii.ilokano_constantino_ilok1237,352,474,20
hawaii.ilokano_constantino_ilok1237,435,474,17
hawaii.ilokano_constantino_ilok1237,469,474,20
hawaii.ilokano_constantino_ilok1237,383,474,16
hawaii.ilokano_constantino_ilok1237,155,474,16
hawaii.ilokano_constantino_ilok1237,328,474,17
hawaii.ilokano_constantino_ilok1237,304,474,19
hawaii.ilokano_constantino_ilok1237,60,474,13
hawaii.ilokano_constantino_ilok1237,449,474,24
hawaii.kapampangan_forman_pamp1243,36,239,11
hawaii.kapampangan_forman_pamp1243,119,239,14
hawaii.kapampangan_forman_pamp1243,156,239,27
hawaii.kapampangan_forman_pamp1243,19,239,12
hawaii.kapampangan_forman_pamp1243,137,239,14
hawaii.kapampangan_forman_pamp1243,126,239,14
hawaii.kapampangan_forman_pamp1243,158,239,19
hawaii.kapampangan_forman_pamp1243,63,239,15
hawaii.kapampangan_forman_pamp1243,116,239,12
hawaii.kapampangan_forman_pamp1243,145,239,10
hawaii.kapampangan_forman_pamp1243,102,239,8
hawaii.kapampangan_forman_pamp1243,214,239,18
hawaii.kapampangan_forman_pamp1243,58,239,15
hawaii.kapampangan_forman_pamp1243,134,239,17
hawaii.kapampangan_forman_pamp1243,85,239,13
hawaii.kapampangan_forman_pamp1243,225,239,10
hawaii.kapampangan_forman_pamp1243,160,239,15
hawaii.kapampangan_forman_pamp1243,77,239,10
hawaii.kapampangan_forman_pamp1243,17,239,10
hawaii.kapampangan_forman_pamp1243,194,239,14
hawaii.kapingamarangi_lieber_kapi1249,126,428,14
hawaii.kapingamarangi_lieber_kapi1249,262,428,15
hawaii.kapingamarangi_lieber_kapi1249,130,428,14
hawaii.kapingamarangi_lieber_kapi1249,181,428,14
hawaii.kapingamarangi_lieber_kapi1249,267,428,15
hawaii.kapingamarangi_lieber_kapi1249,316,428,14
hawaii.kapingamarangi_lieber_kapi1249,356,428,14
hawaii.kapingamarangi_lieber_kapi1249,163,428,14
hawaii.kapingamarangi_lieber_kapi1249,228,428,14
hawaii.kapingamarangi_lieber_kapi1249,277,428,14
hawaii.kapingamarangi_lieber_kapi1249,102,428,15
hawaii.kapingamarangi_lieber_kapi1249,134,428,14
hawaii.kapingamarangi_lieber_kapi1249,265,428,14
hawaii.kapingamarangi_lieber_kapi1249,19,428,14
hawaii.kapingamarangi_lieber_kapi1249,249,428,14
hawaii.kapingamarangi_lieber_kapi1249,22,428,15
hawaii.kapingamarangi_lieber_kapi1249,40,428,15
hawaii.kapingamarangi_lieber_kapi1249,29,428,15
hawaii.kapingamarangi_lieber_kapi1249,365,428,14
hawaii.kapingamarangi_lieber_kapi1249,185,428,15
hawaii.kusaiean_lee_kosr1238,294,386,18
hawaii.kusaiean_lee_kosr1238,88,386,19
hawaii.kusaiean_lee_kosr1238,158,386,18
hawaii.kusaiean_lee_kosr1238,363,386,17
hawaii.kusaiean_lee_kosr1238,326,386,18
hawaii.kusaiean_lee_kosr1238,375,386,17
hawaii.kusaiean_lee_kosr1238,335,386,17
hawaii.kusaiean_lee_kosr1238,86,386,1
hawaii.kusaiean_lee_kosr1238,142,386,14
hawaii.kusaiean_lee_kosr1238,147,386,18
hawaii.kusaiean_lee_kosr1238,71,386,18
hawaii.kusaiean_lee_kosr1238,188,386,18
hawaii.kusaiean_lee_kosr1238,355,386,17
hawaii.kusaiean_lee_kosr1238,26,386,19
hawaii.kusaiean_lee_kosr1238,22,386,12
hawaii.kusaiean_lee_kosr1238,215,386,18
hawaii.kusaiean_lee_kosr1238,28,386,18
hawaii.kusaiean_lee_kosr1238,354,386,19
hawaii.kusaiean_lee_kosr1238,101,386,15
hawaii.kusaiean_lee_kosr1238,296,386,18
hawaii.mokilese_harrison_moki1238,67,252,21
hawaii.mokilese_harrison_moki1238,72,252,22
hawaii.mokilese_harrison_moki1238,147,252,22
hawaii.mokilese_harrison_moki1238,189,252,22
hawaii.mokilese_harrison_moki1238,121,252,24
hawaii.mokilese_harrison_moki1238,196,252,20
hawaii.mokilese_harrison_moki1238,120,252,22
hawaii.mokilese_harrison_moki1238,84,252,21
hawaii.mokilese_harrison_moki1238,83,252,22
hawaii.mokilese_harrison_moki1238,199,252,22
hawaii.mokilese_harrison_moki1238,96,252,21
hawaii.mokilese_harrison_moki1238,17,252,19
hawaii.mokilese_harrison_moki1238,25,252,22
hawaii.mokilese_harrison_moki1238,163,252,21
hawaii.mokilese_harrison_moki1238,130,252,22
hawaii.mokilese_harrison_moki1238,101,252,21
hawaii.mokilese_harrison_moki1238,175,252,22
hawaii.mokilese_harrison_moki1238,236,252,21
hawaii.mokilese_harrison_moki1238,30,252,19
hawaii.mokilese_harrison_moki1238,10,252,22
hawaii.palauan_josephs_pala1344,534,861,19
hawaii.palauan_josephs_pala1344,441,861,14
hawaii.palauan_josephs_pala1344,561,861,16
hawaii.palauan_josephs_pala1344,345,861,17
hawaii.palauan_josephs_pala1344,592,861,9
hawaii.palauan_josephs_pala1344,585,861,15
hawaii.palauan_josephs_pala1344,660,861,15
hawaii.palauan_josephs_pala1344,12,861,18
hawaii.palauan_josephs_pala1344,293,861,22
hawaii.palauan_josephs_pala1344,849,861,19
hawaii.palauan_josephs_pala1344,707,861,18
hawaii.palauan_josephs_pala1344,303,861,21
hawaii.palauan_josephs_pala1344,598,861,15
hawaii.palauan_josephs_pala1344,678,861,21
hawaii.palauan_josephs_pala1344,338,861,12
hawaii.palauan_josephs_pala1344,350,861,14
hawaii.palauan_josephs_pala1344,147,861,21
hawaii.palauan_josephs_pala1344,658,861,18
hawaii.palauan_josephs_pala1344,107,861,17
hawaii.palauan_josephs_pala1344,752,861,19
hawaii.pangasinan_benton_pang1290,31,126,36
hawaii.pangasinan_benton_pang1290,6,126,37
hawaii.pangasinan_benton_pang1290,7,126,36
hawaii.pangasinan_benton_pang1290,72,126,35
hawaii.pangasinan_benton_pang1290,4,126,35
hawaii.pangasinan_benton_pang1290,43,126,35
hawaii.pangasinan_benton_pang1290,61,126,32
hawaii.pangasinan_benton_pang1290,15,126,28
hawaii.pangasinan_benton_pang1290,17,126,33
hawaii.pangasinan_benton_pang1290,121,126,23
hawaii.pangasinan_benton_pang1290,39,126,42
hawaii.pangasinan_benton_pang1290,42,126,39
hawaii.pangasinan_benton_pang1290,88,126,33
hawaii.pangasinan_benton_pang1290,107,126,35
hawaii.pangasinan_benton_pang1290,35,126,35
hawaii.pangasinan_benton_pang1290,58,126,37
hawaii.pangasinan_benton_pang1290,18,126,30
hawaii.pangasinan_benton_pang1290,11,126,41
hawaii.pangasinan_benton_pang1290,56,126,33
hawaii.pangasinan_benton_pang1290,97,126,19
hawaii.woleaian_sohn_wole1240,392,393,17
hawaii.woleaian_sohn_wole1240,22,393,14
hawaii.woleaian_sohn_wole1240,170,393,7
hawaii.woleaian_sohn_wole1240,357,393,11
hawaii.woleaian_sohn_wole1240,372,393,15
hawaii.woleaian_sohn_wole1240,76,393,15
hawaii.woleaian_sohn_wole1240,63,393,15
hawaii.woleaian_sohn_wole1240,391,393,18
hawaii.woleaian_sohn_wole1240,148,393,18
hawaii.woleaian_sohn_wole1240,61,393,16
hawaii.woleaian_sohn_wole1240,374,393,4
hawaii.woleaian_sohn_wole1240,70,393,15
hawaii.woleaian_sohn_wole1240,59,393,14
hawaii.woleaian_sohn_wole1240,131,393,15
hawaii.woleaian_sohn_wole1240,292,393,13
hawaii.woleaian_sohn_wole1240,203,393,16
hawaii.woleaian_sohn_wole1240,227,393,18
hawaii.woleaian_sohn_wole1240,243,393,17
hawaii.woleaian_sohn_wole1240,65,393,9
hawaii.woleaian_sohn_wole1240,30,393,15
other.beja_hudson_beja1238,61,162,26
other.beja_hudson_beja1238,10,162,27
other.beja_hudson_beja1238,149,162,6
other.beja_hudson_beja1238,141,162,18
other.beja_hudson_beja1238,29,162,29
other.beja_hudson_beja1238,95,162,13
other.beja_hudson_beja1238,33,162,35
other.beja_hudson_beja1238,161,162,17
other.beja_hudson_beja1238,104,162,9
other.beja_hudson_beja1238,66,162,25
other.beja_hudson_beja1238,88,162,12
other.beja_hudson_beja1238,102,162,17
other.beja_hudson_beja1238,89,162,16
other.beja_hudson_beja1238,53,162,13
other.beja_hudson_beja1238,142,162,27
other.beja_hudson_beja1238,38,162,18
other.beja_hudson_beja1238,60,162,27
other.beja_hudson_beja1238,105,162,17
other.beja_hudson_beja1238,116,162,7
other.beja_hudson_beja1238,15,162,29
other.daakie_krifka_port1286,254,264,8
other.daakie_krifka_port1286,213,264,12
other.daakie_krifka_port1286,178,264,10
other.daakie_krifka_port1286,107,264,8
other.daakie_krifka_port1286,115,264,9
other.daakie_krifka_port1286,165,264,8
other.daakie_krifka_port1286,194,264,8
other.daakie_krifka_port1286,230,264,7
other.daakie_krifka_port1286,258,264,11
other.daakie_krifka_port1286,133,264,7
other.daakie_krifka_port1286,126,264,9
other.daakie_krifka_port1286,87,264,8
other.daakie_krifka_port1286,109,264,9
other.daakie_krifka_port1286,122,264,9
other.daakie_krifka_port1286,180,264,11
other.daakie_krifka_port1286,259,264,10
other.daakie_krifka_port1286,201,264,10
other.daakie_krifka_port1286,55,264,10
other.daakie_krifka_port1286,155,264,10
other.daakie_krifka_port1286,166,264,8
other.dagaare_ali_sout2789,207,293,21
other.dagaare_ali_sout2789,214,293,25
other.dagaare_ali_sout2789,105,293,27
other.dagaare_ali_sout2789,75,293,24
other.dagaare_ali_sout2789,280,293,26
other.dagaare_ali_sout2789,251,293,12
other.dagaare_ali_sout2789,231,293,25
other.dagaare_ali_sout2789,52,293,21
other.dagaare_ali_sout2789,101,293,24
other.dagaare_ali_sout2789,100,293,23
other.dagaare_ali_sout2789,188,293,23
other.dagaare_ali_sout2789,141,293,13
other.dagaare_ali_sout2789,258,293,30
other.dagaare_ali_sout2789,36,293,25
other.dagaare_ali_sout2789,114,293,26
other.dagaare_ali_sout2789,276,293,26
other.dagaare_ali_sout2789,273,293,21
other.dagaare_ali_sout2789,196,293,25
other.dagaare_ali_sout2789,86,293,23
other.dagaare_ali_sout2789,138,293,24
other.dalabon_evans_ngal1292,344,390,9
other.dalabon_evans_ngal1292,211,390,6
other.dalabon_evans_ngal1292,169,390,13
other.dalabon_evans_ngal1292,155,390,5
other.dalabon_evans_ngal1292,215,390,5
other.dalabon_evans_ngal1292,79,390,11
other.dalabon_evans_ngal1292,30,390,8
other.dalabon_evans_ngal1292,339,390,11
other.dalabon_evans_ngal1292,122,390,14
other.dalabon_evans_ngal1292,202,390,11
other.dalabon_evans_ngal1292,205,390,9
other.dalabon_evans_ngal1292,326,390,12
other.dalabon_evans_ngal1292,188,390,10
other.dalabon_evans_ngal1292,342,390,11
other.dalabon_evans_ngal1292,99,390,11
other.dalabon_evans_ngal1292,371,390,4
other.dalabon_evans_ngal1292,97,390,9
other.dalabon_evans_ngal1292,49,390,9
other.dalabon_evans_ngal1292,242,390,6
other.dalabon_evans_ngal1292,175,390,10
other.djinang_waters_djin1253,47,120,34
other.djinang_waters_djin1253,85,120,28
other.djinang_waters_djin1253,4,120,34
other.djinang_waters_djin1253,60,120,25
other.djinang_waters_djin1253,14,120,33
other.djinang_waters_djin1253,91,120,36
other.djinang_waters_djin1253,46,120,33
other.djinang_waters_djin1253,17,120,36
other.djinang_waters_djin1253,42,120,34
other.djinang_waters_djin1253,48,120,38
other.djinang_waters_djin1253,55,120,44
other.djinang_waters_djin1253,115,120,32
